block,trial,bgr,wgr,style,stim,loc,time,stim,loc,time,*
1,58,0,1,1,~+,"0,0,1",2000,_clas20.wav,"0,0,0","rt:2, 1, 3",*
1,59,0,1,1,~+,"0,0,1",2000,_pop20.wav,"0,0,0","rt:3, 2, 1",*
1,60,0,1,1,~+,"0,0,1",2000,_rock20.wav,"0,0,0","rt:1, 2, 3",*
1,0,0,0,1,~BREAK,"0,0,0",rt:57,*,,,
1,61,0,1,1,~+,"0,0,1",2000,_clas21.wav,"0,0,0","rt:2, 1, 3",*
1,62,0,1,1,~+,"0,0,1",2000,_pop21.wav,"0,0,0","rt:3, 2, 1",*
1,63,0,1,1,~+,"0,0,1",2000,_rock21.wav,"0,0,0","rt:1, 2, 3",*
1,64,0,1,1,~+,"0,0,1",2000,_clas22.wav,"0,0,0","rt:2, 1, 3",*
1,65,0,1,1,~+,"0,0,1",2000,_pop22.wav,"0,0,0","rt:3, 2, 1",*
1,66,0,1,1,~+,"0,0,1",2000,_rock22.wav,"0,0,0","rt:1, 2, 3",*
1,67,0,1,1,~+,"0,0,1",2000,_clas23.wav,"0,0,0","rt:2, 1, 3",*
1,68,0,1,1,~+,"0,0,1",2000,_pop23.wav,"0,0,0","rt:3, 2, 1",*
1,69,0,1,1,~+,"0,0,1",2000,_rock23.wav,"0,0,0","rt:1, 2, 3",*
1,70,0,1,1,~+,"0,0,1",2000,_clas24.wav,"0,0,0","rt:2, 1, 3",*
1,0,0,0,1,~BREAK,"0,0,0",rt:57,*,,,
1,71,0,1,1,~+,"0,0,1",2000,_pop24.wav,"0,0,0","rt:3, 2, 1",*
1,72,0,1,1,~+,"0,0,1",2000,_rock24.wav,"0,0,0","rt:1, 2, 3",*
1,73,0,1,1,~+,"0,0,1",2000,_clas25.wav,"0,0,0","rt:2, 1, 3",*
1,74,0,1,1,~+,"0,0,1",2000,_pop25.wav,"0,0,0","rt:3, 2, 1",*
1,75,0,1,1,~+,"0,0,1",2000,_rock25.wav,"0,0,0","rt:1, 2, 3",*
1,76,0,1,1,~+,"0,0,1",2000,_clas26.wav,"0,0,0","rt:2, 1, 3",*
1,77,0,1,1,~+,"0,0,1",2000,_pop26.wav,"0,0,0","rt:3, 2, 1",*
1,78,0,1,1,~+,"0,0,1",2000,_rock26.wav,"0,0,0","rt:1, 2, 3",*
1,79,0,1,1,~+,"0,0,1",2000,_clas27.wav,"0,0,0","rt:2, 1, 3",*
1,80,0,1,1,~+,"0,0,1",2000,_pop27.wav,"0,0,0","rt:3, 2, 1",*
1,0,0,0,1,~BREAK,"0,0,0",rt:57,*,,,
1,81,0,1,1,~+,"0,0,1",2000,_rock27.wav,"0,0,0","rt:1, 2, 3",*
1,82,0,1,1,~+,"0,0,1",2000,_clas28.wav,"0,0,0","rt:2, 1, 3",*
1,83,0,1,1,~+,"0,0,1",2000,_pop28.wav,"0,0,0","rt:3, 2, 1",*
1,84,0,1,1,~+,"0,0,1",2000,_rock28.wav,"0,0,0","rt:1, 2, 3",*
1,85,0,1,1,~+,"0,0,1",2000,_clas29.wav,"0,0,0","rt:2, 1, 3",*
1,86,0,1,1,~+,"0,0,1",2000,_pop29.wav,"0,0,0","rt:3, 2, 1",*
1,87,0,1,1,~+,"0,0,1",2000,_rock29.wav,"0,0,0","rt:1, 2, 3",*
1,88,0,1,1,~+,"0,0,1",2000,_clas30.wav,"0,0,0","rt:2, 1, 3",*
1,89,0,1,1,~+,"0,0,1",2000,_pop30.wav,"0,0,0","rt:3, 2, 1",*
1,90,0,1,1,~+,"0,0,1",2000,_rock30.wav,"0,0,0","rt:1, 2, 3",*
1,0,0,0,1,"~Thank you, this is the end of the experiment - Press spacebar to exit","0,0,0",rt:57,*,,,
