Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,Correct,
201733101,1,1,0,1,57,SPACE,Welcome to the experiment - press spacebar to continue,3267,1,
201733101,1,1,0,2,57,SPACE,inst.txt,19471,1,
201733101,1,1,1,26,1,1,rock1.wav,2470,1,
201733101,1,1,2,70,2,2,clas1.wav,2802,1,
201733101,1,1,3,100,2,2,pop1.wav,12634,0,
201733101,1,1,4,23,1,1,rock2.wav,1973,1,
201733101,1,1,5,63,2,2,clas2.wav,4638,1,
201733101,1,1,6,33,3,3,pop2.wav,5198,1,
201733101,1,1,7,49,1,1,rock3.wav,2202,1,
201733101,1,1,8,19,2,2,clas3.wav,3338,1,
201733101,1,1,9,65,3,3,pop3.wav,26579,1,
201733101,1,1,10,48,1,1,rock4.wav,2244,1,
201733101,1,1,0,13,57,SPACE,BREAK,1966,1,
201733101,1,1,11,20,2,2,clas4.wav,6304,1,
201733101,1,1,12,25,1,1,pop4.wav,6124,0,
201733101,1,1,13,9,1,1,rock5.wav,3129,1,
201733101,1,1,14,56,2,2,clas5.wav,2724,1,
201733101,1,1,15,36,1,1,pop5.wav,1736,0,
201733101,1,1,16,7,1,1,rock6.wav,2795,1,
201733101,1,1,17,59,2,2,clas6.wav,9649,1,
201733101,1,1,18,11,3,3,pop6.wav,4122,1,
201733101,1,1,19,6,1,1,rock7.wav,2525,1,
201733101,1,1,20,42,2,2,clas7.wav,3000,1,
201733101,1,1,0,24,57,SPACE,BREAK,1119,1,
201733101,1,1,21,52,3,3,pop7.wav,6697,1,
201733101,1,1,22,45,1,1,rock8.wav,4724,1,
201733101,1,1,23,71,2,2,clas8.wav,4658,1,
201733101,1,1,24,97,3,3,pop8.wav,4024,1,
201733101,1,1,25,8,1,1,rock9.wav,3280,1,
201733101,1,1,26,81,2,2,clas9.wav,2775,1,
201733101,1,1,27,96,3,3,pop9.wav,3701,1,
201733101,1,1,28,34,1,1,rock10.wav,5982,1,
201733101,1,1,29,47,2,2,clas10.wav,12132,1,
201733101,1,1,30,99,3,3,pop10.wav,3438,1,
201733101,1,1,0,35,57,SPACE,BREAK,15720,1,
201733101,1,1,31,87,1,1,rock11.wav,2563,1,
201733101,1,1,32,3,2,2,clas11.wav,8264,1,
201733101,1,1,33,41,3,3,pop11.wav,5857,1,
201733101,1,1,34,55,1,1,rock12.wav,2945,1,
201733101,1,1,35,85,2,2,clas12.wav,1864,1,
201733101,1,1,36,15,3,3,pop12.wav,4146,1,
201733101,1,1,37,51,3,3,rock13.wav,4061,0,
201733101,1,1,38,69,2,2,clas13.wav,2006,1,
201733101,1,1,39,22,3,3,pop13.wav,3683,1,
201733101,1,1,40,21,1,1,rock14.wav,4827,1,
201733101,1,1,0,46,57,SPACE,BREAK,1031,1,
201733101,1,1,41,29,3,3,clas14.wav,3069,0,
201733101,1,1,42,75,1,1,pop14.wav,4355,0,
201733101,1,1,43,77,2,2,rock15.wav,2349,0,
201733101,1,1,44,66,2,2,clas15.wav,3473,1,
201733101,1,1,45,98,1,1,pop15.wav,1967,0,
201733101,1,1,46,10,2,2,clas16.wav,2862,1,
201733101,1,1,47,43,1,1,pop16.wav,7046,0,
201733101,1,1,48,37,3,3,rock16.wav,3768,0,
201733101,1,1,49,16,2,2,clas17.wav,2677,1,
201733101,1,1,50,39,1,1,pop17.wav,5253,0,
201733101,1,1,0,57,57,SPACE,BREAK,1175,1,
201733101,1,1,51,92,1,1,rock17.wav,1824,1,
201733101,1,1,52,60,2,2,clas18.wav,10638,1,
201733101,1,1,53,31,3,3,pop18.wav,3036,1,
201733101,1,1,54,80,1,1,rock18.wav,2231,1,
