Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,Correct,
201735169,1,1,0,1,57,SPACE,Welcome to the experiment - press spacebar to continue,2745,1,
201735169,1,1,0,2,57,SPACE,inst.txt,9572,1,
201735169,1,1,1,92,1,1,rock1.wav,3086,1,
201735169,1,1,2,42,2,2,clas1.wav,2794,1,
201735169,1,1,3,14,3,3,pop1.wav,11168,1,
201735169,1,1,4,100,1,1,rock2.wav,1284,1,
201735169,1,1,5,98,2,2,clas2.wav,3107,1,
201735169,1,1,6,62,3,3,pop2.wav,4444,1,
201735169,1,1,7,61,1,1,rock3.wav,1343,1,
201735169,1,1,8,19,2,2,clas3.wav,2040,1,
201735169,1,1,9,52,3,3,pop3.wav,2005,1,
201735169,1,1,10,40,1,1,rock4.wav,1542,1,
201735169,1,1,0,13,57,SPACE,BREAK,1116,1,
201735169,1,1,11,16,2,2,clas4.wav,4258,1,
201735169,1,1,12,27,3,3,pop4.wav,15264,1,
201735169,1,1,13,58,1,1,rock5.wav,2198,1,
201735169,1,1,14,20,2,2,clas5.wav,2210,1,
201735169,1,1,15,3,1,1,pop5.wav,3340,0,
201735169,1,1,16,41,1,1,rock6.wav,1860,1,
201735169,1,1,17,86,2,2,clas6.wav,5244,1,
201735169,1,1,18,91,2,2,pop6.wav,3771,0,
201735169,1,1,19,25,1,1,rock7.wav,2004,1,
201735169,1,1,20,15,2,2,clas7.wav,2631,1,
201735169,1,1,0,24,57,SPACE,BREAK,922,1,
201735169,1,1,21,71,3,3,pop7.wav,4932,1,
201735169,1,1,22,69,1,1,rock8.wav,2189,1,
201735169,1,1,23,97,2,2,clas8.wav,4225,1,
201735169,1,1,24,81,3,3,pop8.wav,3189,1,
201735169,1,1,25,34,1,1,rock9.wav,2931,1,
201735169,1,1,26,44,2,2,clas9.wav,2062,1,
201735169,1,1,27,85,3,3,pop9.wav,4222,1,
201735169,1,1,28,9,1,1,rock10.wav,7516,1,
201735169,1,1,29,6,2,2,clas10.wav,3639,1,
201735169,1,1,30,60,3,3,pop10.wav,2907,1,
201735169,1,1,0,35,57,SPACE,BREAK,1111,1,
201735169,1,1,31,31,1,1,rock11.wav,2682,1,
201735169,1,1,32,96,2,2,clas11.wav,5775,1,
201735169,1,1,33,53,3,3,pop11.wav,3093,1,
201735169,1,1,34,30,3,3,rock12.wav,6801,0,
201735169,1,1,35,11,2,2,clas12.wav,2489,1,
201735169,1,1,36,64,3,3,pop12.wav,2690,1,
201735169,1,1,37,18,1,1,rock13.wav,1911,1,
201735169,1,1,38,33,2,2,clas13.wav,2546,1,
201735169,1,1,39,95,3,3,pop13.wav,3125,1,
201735169,1,1,40,73,1,1,rock14.wav,3265,1,
201735169,1,1,0,46,57,SPACE,BREAK,1210,1,
201735169,1,1,41,50,2,2,clas14.wav,3075,1,
201735169,1,1,42,36,3,3,pop14.wav,1739,1,
201735169,1,1,43,32,2,2,rock15.wav,3897,0,
201735169,1,1,44,87,2,2,clas15.wav,1478,1,
201735169,1,1,45,45,3,3,pop15.wav,2740,1,
201735169,1,1,46,39,2,2,clas16.wav,1811,1,
201735169,1,1,47,54,1,1,pop16.wav,4918,0,
201735169,1,1,48,66,1,1,rock16.wav,3510,1,
201735169,1,1,49,99,2,2,clas17.wav,2631,1,
201735169,1,1,50,77,3,3,pop17.wav,2233,1,
201735169,1,1,0,57,57,SPACE,BREAK,1181,1,
201735169,1,1,51,59,1,1,rock17.wav,1394,1,
201735169,1,1,52,26,2,2,clas18.wav,4390,1,
201735169,1,1,53,76,3,3,pop18.wav,2345,1,
201735169,1,1,54,12,2,2,rock18.wav,2402,0,
201735169,1,1,55,22,2,2,clas19.wav,2777,1,
201735169,1,1,56,43,3,3,pop19.wav,2878,1,
201735169,1,1,57,51,1,1,rock19.wav,8444,1,
201735169,1,1,58,84,2,2,clas20.wav,3147,1,
201735169,1,1,59,78,3,3,pop20.wav,4992,1,
201735169,1,1,60,56,1,1,rock20.wav,1707,1,
201735169,1,1,0,68,57,SPACE,BREAK,1164,1,
201735169,1,1,61,82,2,2,clas21.wav,1620,1,
201735169,1,1,62,29,3,3,pop21.wav,3806,1,
201735169,1,1,63,74,2,2,rock21.wav,5715,0,
201735169,1,1,64,28,2,2,clas22.wav,2120,1,
201735169,1,1,65,67,3,3,pop22.wav,2928,1,
201735169,1,1,66,93,1,1,rock22.wav,1812,1,
201735169,1,1,67,83,2,2,clas23.wav,3887,1,
201735169,1,1,68,48,3,3,pop23.wav,1922,1,
201735169,1,1,69,75,1,1,rock23.wav,6479,1,
201735169,1,1,70,38,2,2,clas24.wav,3351,1,
201735169,1,1,0,79,57,SPACE,BREAK,1052,1,
201735169,1,1,71,8,3,3,pop24.wav,4159,1,
201735169,1,1,72,47,1,1,rock24.wav,2689,1,
201735169,1,1,73,4,2,2,clas25.wav,1779,1,
201735169,1,1,74,89,3,3,pop25.wav,4403,1,
201735169,1,1,75,5,1,1,rock25.wav,2189,1,
201735169,1,1,76,80,2,2,clas26.wav,1830,1,
201735169,1,1,77,23,3,3,pop26.wav,7419,1,
201735169,1,1,78,65,2,2,rock26.wav,4361,0,
201735169,1,1,79,21,2,2,clas27.wav,1892,1,
201735169,1,1,80,37,3,3,pop27.wav,2128,1,
201735169,1,1,0,90,57,SPACE,BREAK,1069,1,
201735169,1,1,81,63,2,2,rock27.wav,5753,0,
201735169,1,1,82,88,2,2,clas28.wav,1858,1,
201735169,1,1,83,10,3,3,pop28.wav,4384,1,
201735169,1,1,84,7,1,1,rock28.wav,4021,1,
201735169,1,1,85,17,2,2,clas29.wav,2716,1,
201735169,1,1,86,70,2,2,pop29.wav,2302,0,
201735169,1,1,87,72,1,1,rock29.wav,3056,1,
201735169,1,1,88,55,2,2,clas30.wav,1399,1,
201735169,1,1,89,49,2,2,pop30.wav,2486,0,
201735169,1,1,90,94,1,1,rock30.wav,2436,1,
201735169,1,1,0,101,57,SPACE,"Thank you, this is the end of the experiment - Press spacebar to exit",1195,1,
,,,,,,,,3.262643564,90,11
