Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,Correct,
201500166,1,1,0,1,57,SPACE,Welcome to the experiment - press spacebar to continue,550,1,
201500166,1,1,0,2,57,SPACE,inst.txt,884,1,
201500166,1,1,1,17,1,1,rock1.wav,4456,1,
201500166,1,1,2,60,2,2,clas1.wav,2960,1,
201500166,1,1,3,86,3,3,pop1.wav,7319,1,
201500166,1,1,4,27,1,1,rock2.wav,2205,1,
201500166,1,1,5,38,2,2,clas2.wav,2699,1,
201500166,1,1,6,77,3,3,pop2.wav,3833,1,
201500166,1,1,7,55,1,1,rock3.wav,3322,1,
201500166,1,1,8,18,2,2,clas3.wav,6970,1,
201500166,1,1,9,64,3,3,pop3.wav,2753,1,
201500166,1,1,10,54,1,1,rock4.wav,7926,1,
201500166,1,1,0,13,57,SPACE,BREAK,981,1,
201500166,1,1,11,7,2,2,clas4.wav,4353,1,
201500166,1,1,12,76,2,2,pop4.wav,2960,0,
201500166,1,1,13,100,1,1,rock5.wav,2380,1,
201500166,1,1,14,92,2,2,clas5.wav,2317,1,
201500166,1,1,15,74,1,1,pop5.wav,1627,0,
201500166,1,1,16,30,1,1,rock6.wav,1683,1,
201500166,1,1,17,5,2,2,clas6.wav,7512,1,
201500166,1,1,18,89,2,2,pop6.wav,5302,0,
201500166,1,1,19,84,1,1,rock7.wav,1662,1,
201500166,1,1,20,45,2,2,clas7.wav,2347,1,
201500166,1,1,0,24,57,SPACE,BREAK,954,1,
201500166,1,1,21,23,3,3,pop7.wav,7079,1,
201500166,1,1,22,8,1,1,rock8.wav,3470,1,
201500166,1,1,23,49,2,2,clas8.wav,7545,1,
201500166,1,1,24,63,3,3,pop8.wav,3706,1,
201500166,1,1,25,6,1,1,rock9.wav,10525,1,
201500166,1,1,26,47,2,2,clas9.wav,4272,1,
201500166,1,1,27,96,3,3,pop9.wav,4730,1,
201500166,1,1,28,10,1,1,rock10.wav,15530,1,
201500166,1,1,29,95,2,2,clas10.wav,4072,1,
201500166,1,1,30,16,3,3,pop10.wav,3522,1,
201500166,1,1,0,35,57,SPACE,BREAK,1226,1,
201500166,1,1,31,78,1,1,rock11.wav,1927,1,
201500166,1,1,32,9,2,2,clas11.wav,5283,1,
201500166,1,1,33,43,3,3,pop11.wav,3059,1,
201500166,1,1,34,51,1,1,rock12.wav,3551,1,
201500166,1,1,35,20,2,2,clas12.wav,3798,1,
201500166,1,1,36,91,3,3,pop12.wav,10351,1,
201500166,1,1,37,72,1,1,rock13.wav,2152,1,
201500166,1,1,38,80,2,2,clas13.wav,2424,1,
201500166,1,1,39,15,3,3,pop13.wav,9219,1,
201500166,1,1,40,28,1,1,rock14.wav,2590,1,
201500166,1,1,0,46,57,SPACE,BREAK,963,1,
201500166,1,1,41,99,2,2,clas14.wav,2066,1,
201500166,1,1,42,53,3,3,pop14.wav,2089,1,
201500166,1,1,43,52,2,2,rock15.wav,9827,0,
201500166,1,1,44,75,2,2,clas15.wav,3213,1,
201500166,1,1,45,11,3,3,pop15.wav,11790,1,
201500166,1,1,46,61,2,2,clas16.wav,1979,1,
201500166,1,1,47,97,3,3,pop16.wav,8051,1,
201500166,1,1,48,65,1,1,rock16.wav,1783,1,
201500166,1,1,49,59,2,2,clas17.wav,2439,1,
201500166,1,1,50,85,3,3,pop17.wav,2107,1,
201500166,1,1,0,57,57,SPACE,BREAK,907,1,
201500166,1,1,51,37,1,1,rock17.wav,1431,1,
201500166,1,1,52,32,2,2,clas18.wav,4230,1,
201500166,1,1,53,62,3,3,pop18.wav,1493,1,
201500166,1,1,54,83,1,1,rock18.wav,3274,1,
201500166,1,1,55,33,2,2,clas19.wav,1809,1,
201500166,1,1,56,34,3,3,pop19.wav,18289,1,
201500166,1,1,57,44,3,3,rock19.wav,8362,0,
201500166,1,1,58,70,2,2,clas20.wav,3009,1,
201500166,1,1,59,36,3,3,pop20.wav,5976,1,
201500166,1,1,60,19,1,1,rock20.wav,2899,1,
201500166,1,1,0,68,57,SPACE,BREAK,1061,1,
201500166,1,1,61,41,2,2,clas21.wav,1794,1,
201500166,1,1,62,31,3,3,pop21.wav,3200,1,
201500166,1,1,63,67,2,2,rock21.wav,5486,0,
201500166,1,1,64,88,2,2,clas22.wav,1977,1,
201500166,1,1,65,3,3,3,pop22.wav,3799,1,
201500166,1,1,66,58,1,1,rock22.wav,4116,1,
201500166,1,1,67,66,2,2,clas23.wav,2909,1,
201500166,1,1,68,4,3,3,pop23.wav,18309,1,
201500166,1,1,69,71,1,1,rock23.wav,4408,1,
201500166,1,1,70,94,2,2,clas24.wav,7926,1,
201500166,1,1,0,79,57,SPACE,BREAK,1189,1,
201500166,1,1,71,25,1,1,pop24.wav,2406,0,
201500166,1,1,72,69,1,1,rock24.wav,1913,1,
