Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,Correct,
201314943,1,1,0,1,57,SPACE,Welcome to the experiment - press spacebar to continue,1439,1,
201314943,1,1,0,2,57,SPACE,inst.txt,7092,1,
201314943,1,1,1,8,1,1,rock1.wav,38085,1,
201314943,1,1,2,98,2,2,clas1.wav,13396,1,
201314943,1,1,3,95,3,3,pop1.wav,12211,1,
201314943,1,1,4,93,1,1,rock2.wav,3041,1,
201314943,1,1,5,29,2,2,clas2.wav,4345,1,
201314943,1,1,6,53,1,1,pop2.wav,29605,0,
201314943,1,1,7,55,1,1,rock3.wav,33251,1,
201314943,1,1,8,99,2,2,clas3.wav,9731,1,
201314943,1,1,9,42,3,3,pop3.wav,30550,1,
201314943,1,1,10,56,1,1,rock4.wav,2869,1,
201314943,1,1,0,13,57,SPACE,BREAK,23632,1,
201314943,1,1,11,36,2,2,clas4.wav,28631,1,
201314943,1,1,12,97,3,3,pop4.wav,4039,1,
201314943,1,1,13,43,1,1,rock5.wav,19346,1,
201314943,1,1,14,70,2,2,clas5.wav,6746,1,
201314943,1,1,15,84,1,1,pop5.wav,7204,0,
201314943,1,1,16,11,1,1,rock6.wav,31176,1,
201314943,1,1,17,16,2,2,clas6.wav,28692,1,
201314943,1,1,18,52,3,3,pop6.wav,5345,1,
201314943,1,1,19,31,1,1,rock7.wav,3142,1,
201314943,1,1,20,33,2,2,clas7.wav,25877,1,
201314943,1,1,0,24,57,SPACE,BREAK,77447,1,
201314943,1,1,21,71,1,1,pop7.wav,5696,0,
201314943,1,1,22,73,1,1,rock8.wav,4351,1,
201314943,1,1,23,61,2,2,clas8.wav,5276,1,
201314943,1,1,24,26,3,3,pop8.wav,22394,1,
201314943,1,1,25,72,1,1,rock9.wav,3322,1,
201314943,1,1,26,14,2,2,clas9.wav,24963,1,
201314943,1,1,27,21,3,3,pop9.wav,30203,1,
201314943,1,1,28,34,1,1,rock10.wav,23084,1,
201314943,1,1,29,39,2,2,clas10.wav,26347,1,
201314943,1,1,30,54,1,1,pop10.wav,46999,0,
201314943,1,1,0,35,57,SPACE,BREAK,2079,1,
201314943,1,1,31,3,1,1,rock11.wav,33881,1,
201314943,1,1,32,92,2,2,clas11.wav,4839,1,
201314943,1,1,33,83,3,3,pop11.wav,7231,1,
201314943,1,1,34,27,1,1,rock12.wav,35466,1,
201314943,1,1,35,89,2,2,clas12.wav,3323,1,
201314943,1,1,36,85,1,1,pop12.wav,10853,0,
201314943,1,1,37,82,3,3,rock13.wav,7468,0,
201314943,1,1,38,37,2,2,clas13.wav,27416,1,
201314943,1,1,39,65,3,3,pop13.wav,16027,1,
201314943,1,1,40,78,1,1,rock14.wav,3838,1,
201314943,1,1,0,46,57,SPACE,BREAK,5698,1,
201314943,1,1,41,77,3,3,clas14.wav,24919,0,
201314943,1,1,42,22,1,1,pop14.wav,34979,0,
201314943,1,1,43,58,2,2,rock15.wav,2976,0,
201314943,1,1,44,7,2,2,clas15.wav,25230,1,
201314943,1,1,45,100,1,1,pop15.wav,7957,0,
201314943,1,1,46,44,2,2,clas16.wav,30567,1,
201314943,1,1,47,38,1,1,pop16.wav,31299,0,
201314943,1,1,48,94,2,2,rock16.wav,11800,0,
201314943,1,1,49,69,2,2,clas17.wav,3424,1,
201314943,1,1,50,62,3,3,pop17.wav,3529,1,
201314943,1,1,0,57,57,SPACE,BREAK,2392,1,
201314943,1,1,51,18,1,1,rock17.wav,31556,1,
201314943,1,1,52,50,2,2,clas18.wav,7686,1,
201314943,1,1,53,41,3,3,pop18.wav,2552,1,
201314943,1,1,54,12,1,1,rock18.wav,16958,1,
201314943,1,1,55,80,2,2,clas19.wav,10853,1,
201314943,1,1,56,5,3,3,pop19.wav,12140,1,
201314943,1,1,57,45,1,1,rock19.wav,5640,1,
201314943,1,1,58,49,2,2,clas20.wav,5040,1,
201314943,1,1,59,64,3,3,pop20.wav,9473,1,
201314943,1,1,60,15,1,1,rock20.wav,29340,1,
201314943,1,1,0,68,57,SPACE,BREAK,45242,1,
201314943,1,1,61,40,2,2,clas21.wav,26242,1,
201314943,1,1,62,87,3,3,pop21.wav,8042,1,
201314943,1,1,63,6,3,3,rock21.wav,10578,0,
201314943,1,1,64,32,2,2,clas22.wav,4998,1,
201314943,1,1,65,63,2,2,pop22.wav,15272,0,
201314943,1,1,66,23,1,1,rock22.wav,19487,1,
201314943,1,1,67,59,2,2,clas23.wav,7621,1,
201314943,1,1,68,86,1,1,pop23.wav,4711,0,
201314943,1,1,69,67,1,1,rock23.wav,3340,1,
201314943,1,1,70,51,1,1,clas24.wav,13488,0,
201314943,1,1,0,79,57,SPACE,BREAK,2117,1,
201314943,1,1,71,74,1,1,pop24.wav,7016,0,
201314943,1,1,72,76,1,1,rock24.wav,2801,1,
201314943,1,1,73,88,2,2,clas25.wav,2389,1,
201314943,1,1,74,47,1,1,pop25.wav,21529,0,
201314943,1,1,75,96,1,1,rock25.wav,3436,1,
201314943,1,1,76,25,2,2,clas26.wav,24840,1,
201314943,1,1,77,17,3,3,pop26.wav,33707,1,
201314943,1,1,78,75,1,1,rock26.wav,3951,1,
201314943,1,1,79,28,1,1,clas27.wav,43590,0,
201314943,1,1,80,30,1,1,pop27.wav,26616,0,
